Item,Date,Qty,Comment,Type
YT435102-815,10/4/2021,3,CAT 21157.78,FC
YT435102-815,11/1/2021,3,CAT 21157.78,FC
YT435102-815,11/15/2021,1,CAT 21157.78,FC
YT435102-815,11/22/2021,5,CAT 21157.78,FC
YT435102-815,11/8/2021,2,CAT 21157.78,FC
YT435102-815,5/10/2021,1,CAT 21157.78,FC
YT435102-815,5/17/2021,1,CAT 21157.78,FC
YT435102-815,5/24/2021,3,CAT 21157.78,FC
YT435102-815,5/3/2021,2,CAT 21157.78,FC
YT435102-815,6/10/2021,3,CAT 21157.78,FC
YT435102-815,6/17/2021,2,CAT 21157.78,FC
YT435102-815,6/2/2021,3,CAT 21157.78,FC
YT435102-815,6/24/2021,5,CAT 21157.78,FC
YT435102-815,7/12/2021,1,CAT 21157.78,FC
YT435102-815,7/19/2021,1,CAT 21157.78,FC
YT435102-815,7/2/2021,1,CAT 21157.78,FC
YT435102-815,7/26/2021,3,CAT 21157.78,FC
YT435102-815,8/11/2021,3,CAT 21157.78,FC
YT435102-815,8/18/2021,2,CAT 21157.78,FC
YT435102-815,8/25/2021,3,CAT 21157.78,FC
YT435102-815,8/3/2021,3,CAT 21157.78,FC
YT435102-815,9/10/2021,3,CAT 21157.78,FC
YT435102-815,9/17/2021,1,CAT 21157.78,FC
YT435102-815,9/24/2021,3,CAT 21157.78,FC
YT435102-815,9/3/2021,3,CAT 21157.78,FC
YT436763-AO-816,10/26/2021,1,CAT 343.00,FC
YT436763-AO-816,8/24/2021,1,CAT 343.00,FC
YT436766-AO-816,10/26/2021,1,CAT 330.00,FC
YT440046-815,10/25/2021,1,CAT 28852.78,FC
YT440046-815,11/22/2021,1,CAT 28852.78,FC
YT440046-815,4/26/2021,1,CAT 28852.78,FC
YT440046-815,5/24/2021,1,CAT 28852.78,FC
YT440046-815,6/24/2021,1,CAT 28852.78,FC
YT440046-815,7/26/2021,1,CAT 28852.78,FC
YT440046-815,8/25/2021,1,CAT 28852.78,FC
YT440046-815,9/24/2021,1,CAT 28852.78,FC
YT440077,10/11/2021,1,CPG 54472.00,FC
YT440077,10/25/2021,1,CPG 54472.00,FC
YT440077,11/15/2021,1,CPG 54472.00,FC
YT440077,11/22/2021,2,CPG 54472.00,FC
YT440077,11/8/2021,1,CPG 54472.00,FC
YT440077,5/17/2021,4,CPG 54472.00,FC
YT440077,5/24/2021,1,CPG 54472.00,FC
YT440077,6/14/2021,5,CPG 54472.00,FC
YT440077,6/7/2021,1,CPG 54472.00,FC
YT440077,7/12/2021,2,CPG 54472.00,FC
YT440077,7/19/2021,1,CPG 54472.00,FC
YT440077,7/2/2021,1,CPG 54472.00,FC
YT440077,7/26/2021,5,CPG 54472.00,FC
YT440077,8/16/2021,4,CPG 54472.00,FC
YT440077,8/30/2021,2,CPG 54472.00,FC
YT440077,9/20/2021,1,CPG 54472.00,FC
YT440077,9/27/2021,1,CPG 54472.00,FC
YT440077,9/3/2021,2,CPG 54472.00,FC
YT442390,10/11/2021,9,CPG 54472.00,FC
YT442390,10/25/2021,4,CPG 54472.00,FC
YT442390,11/1/2021,6,CPG 54472.00,FC
YT442390,11/15/2021,11,CPG 54472.00,FC
YT442390,11/29/2021,7,CPG 54472.00,FC
YT442390,11/8/2021,6,CPG 54472.00,FC
YT442390,4/26/2021,10,CPG 54472.00,FC
YT442390,5/10/2021,1,CPG 54472.00,FC
YT442390,5/17/2021,3,CPG 54472.00,FC
YT442390,5/24/2021,12,CPG 54472.00,FC
YT442390,5/28/2021,6,CPG 54472.00,FC
YT442390,5/3/2021,6,CPG 54472.00,FC
YT442390,6/14/2021,4,CPG 54472.00,FC
YT442390,6/21/2021,4,CPG 54472.00,FC
YT442390,6/28/2021,7,CPG 54472.00,FC
YT442390,6/7/2021,4,CPG 54472.00,FC
YT442390,7/19/2021,7,CPG 54472.00,FC
YT442390,7/2/2021,4,CPG 54472.00,FC
YT442390,8/16/2021,6,CPG 54472.00,FC
YT442390,8/2/2021,5,CPG 54472.00,FC
YT442390,8/23/2021,4,CPG 54472.00,FC
YT442390,8/30/2021,19,CPG 54472.00,FC
YT442390,8/9/2021,5,CPG 54472.00,FC
YT442390,9/13/2021,10,CPG 54472.00,FC
YT442390,9/20/2021,9,CPG 54472.00,FC
YT442390,9/27/2021,10,CPG 54472.00,FC
YT442393,10/11/2021,6,CPG 56015.00,FC
YT442393,10/18/2021,3,CPG 56015.00,FC
YT442393,11/29/2021,1,CPG 56015.00,FC
YT442393,4/12/2021,2,CPG 56015.00,FC
YT442393,4/19/2021,8,CPG 56015.00,FC
YT442393,4/26/2021,1,CPG 56015.00,FC
YT442393,5/10/2021,4,CPG 56015.00,FC
YT442393,5/17/2021,3,CPG 56015.00,FC
YT442393,5/24/2021,1,CPG 56015.00,FC
YT442393,5/28/2021,1,CPG 56015.00,FC
YT442393,5/3/2021,4,CPG 56015.00,FC
YT442393,6/21/2021,3,CPG 56015.00,FC
YT442393,6/28/2021,4,CPG 56015.00,FC
YT442393,6/7/2021,1,CPG 56015.00,FC
YT442393,7/12/2021,5,CPG 56015.00,FC
YT442393,7/19/2021,5,CPG 56015.00,FC
YT442393,7/2/2021,5,CPG 56015.00,FC
YT442393,8/16/2021,1,CPG 56015.00,FC
YT442393,8/30/2021,1,CPG 56015.00,FC
YT442393,8/9/2021,5,CPG 56015.00,FC
YT442393,9/20/2021,13,CPG 56015.00,FC
YT443084-800,10/11/2021,2,PRW 5200.00,FC
YT443084-800,10/19/2021,1,PRW 5200.00,FC
YT443084-800,4/29/2021,2,PR   5200.00,FC
YT443084-800,5/18/2021,1,PRW 5200.00,FC
YT443084-800,5/27/2021,1,PR   5200.00,FC
YT443084-800,5/28/2021,2,PRW 5200.00,FC
YT443084-800,5/5/2021,3,PRW 5200.00,FC
YT443084-800,6/14/2021,2,PRW 5200.00,FC
YT443084-800,6/22/2021,2,PRW 5200.00,FC
YT443084-800,6/29/2021,1,PR   5200.00,FC
YT443084-800,7/14/2021,2,PRW 5200.00,FC
YT443084-800,7/2/2021,2,PRW 5200.00,FC
YT443084-800,7/26/2021,2,PRW 5200.00,FC
YT443084-800,7/29/2021,5,PR   5200.00,FC
YT443084-800,8/17/2021,1,PRW 5200.00,FC
YT443084-800,8/24/2021,2,PRW 5200.00,FC
YT443084-800,8/30/2021,5,PR   5200.00,FC
YT443084-800,8/9/2021,2,PRW 5200.00,FC
YT443084-800,9/15/2021,2,PRW 5200.00,FC
YT443084-800,9/27/2021,2,PRW 5200.00,FC
YT443084-800,9/3/2021,2,PRW 5200.00,FC
YT443085-800,10/11/2021,2,PRW 5200.00,FC
YT443085-800,10/19/2021,1,PRW 5200.00,FC
YT443085-800,4/19/2021,2,PRW 5200.00,FC
YT443085-800,4/26/2021,1,PR 5200.00,FC
YT443085-800,4/28/2021,2,PRW 5200.00,FC
YT443085-800,5/18/2021,1,PRW 5200.00,FC
YT443085-800,5/28/2021,2,PRW 5200.00,FC
YT443085-800,5/5/2021,2,PRW 5200.00,FC
YT443085-800,6/14/2021,2,PRW 5200.00,FC
YT443085-800,6/22/2021,2,PRW 5200.00,FC
YT443085-800,7/14/2021,2,PRW 5200.00,FC
YT443085-800,7/2/2021,2,PRW 5200.00,FC
YT443085-800,7/26/2021,2,PRW 5200.00,FC
YT443085-800,8/17/2021,1,PRW 5200.00,FC
YT443085-800,8/24/2021,2,PRW 5200.00,FC
YT443085-800,8/9/2021,2,PRW 5200.00,FC
YT443085-800,9/15/2021,2,PRW 5200.00,FC
YT443085-800,9/27/2021,2,PRW 5200.00,FC
YT443085-800,9/3/2021,2,PRW 5200.00,FC
YT444343,3/25/2021,1,CAT 25463.00,FC
YT445255-800,5/24/2021,1,PRW 7902.24,FC
YT445256-800,5/18/2021,2,PRW 7860.24,FC
YT445256-800,7/26/2021,1,PRW 7860.24,FC
YT446565,6/29/2021,1,PR  630.00,FC
YT446565,7/29/2021,5,PR  630.00,FC
YT446565,8/30/2021,5,PR  630.00,FC
YT446581,10/28/2021,6,PR 584.00,FC
YT446581,11/29/2021,8,PR 584.00,FC
YT446581,3/30/2021,8,PR 584.00,FC
YT446581,4/29/2021,7,PR 584.00,FC
