Item,Bucket,Date,End Date,Number of Buckets,Current,Original,Total,Confidence(%),Project Number,,Task Number,Line,Comment,Forecast,[  ]
YT363522,Days,9/14/2021,,1,15,15,15,100,,,,,CAT 77.00,LEX-FCST,.
YT363522,Days,10/26/2021,,1,20,20,20,100,,,,,CAT 77.00,LEX-FCST,.
YT363978-816,Days,4/29/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,5/28/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,6/29/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,7/29/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,8/30/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,9/29/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,10/28/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT363978-816,Days,11/29/2021,,1,22,22,22,100,,,,,PR 46.00,LEX-FCST,.
YT365037,Days,5/13/2021,,1,3,3,3,100,,,,,INN 1260.00,LEX-FCST,.
YT365037,Days,6/11/2021,,1,3,3,3,100,,,,,INN 1260.00,LEX-FCST,.
YT365037,Days,6/25/2021,,1,5,5,5,100,,,,,INN 1260.00,LEX-FCST,.
YT365041,Days,5/21/2021,,1,4,4,4,100,,,,,INN 2664.00,LEX-FCST,.
YT365041,Days,6/18/2021,,1,4,4,4,100,,,,,INN 2664.00,LEX-FCST,.
YT365065,Days,6/1/2021,,1,1,1,1,100,,,,,INN 2013.00,LEX-FCST,.
YT365065,Days,6/2/2021,,1,3,3,3,100,,,,,INN 2013.00,LEX-FCST,.
YT365065,Days,6/30/2021,,1,4,4,4,100,,,,,INN 2013.00,LEX-FCST,.
YT405492-03.37-AB-816,Days,8/10/2021,,1,7,7,7,100,,,,,CAT 95.00,LEX-FCST,.
YT406653-001,Days,5/7/2021,,1,2,2,2,100,,,,,PR 1470.00,LEX-FCST,.
YT406653-001,Days,6/7/2021,,1,2,2,2,100,,,,,PR 1470.00,LEX-FCST,.
YT406653-001,Days,7/7/2021,,1,3,3,3,100,,,,,PR 1470.00,LEX-FCST,.
YT406653-001,Days,8/6/2021,,1,2,2,2,100,,,,,PR 1470.00,LEX-FCST,.
YT406653-001,Days,9/7/2021,,1,3,3,3,100,,,,,PR 1470.00,LEX-FCST,.
YT406653-001,Days,10/7/2021,,1,2,2,2,100,,,,,PR 1470.00,LEX-FCST,.
YT406653-001,Days,11/5/2021,,1,3,3,3,100,,,,,PR 1470.00,LEX-FCST,.
YT409853-001,Days,4/26/2021,,1,5,5,5,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,4/29/2021,,1,6,6,6,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,5/17/2021,,1,14,14,14,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,5/20/2021,,1,7,7,7,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,5/26/2021,,1,4,4,4,100,,,,,PRW 2246.00,LEX-FCST,.
YT409853-001,Days,5/27/2021,,1,17,17,17,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,6/14/2021,,1,8,8,8,100,,,,,PRW 2246.00,LEX-FCST,.
YT409853-001,Days,6/24/2021,,1,13,13,13,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,7/26/2021,,1,5,5,5,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,7/27/2021,,1,4,4,4,100,,,,,PRW 2246.00,LEX-FCST,.
YT409853-001,Days,7/29/2021,,1,13,13,13,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,8/25/2021,,1,6,6,6,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,8/30/2021,,1,16,16,16,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,9/24/2021,,1,14,14,14,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,10/25/2021,,1,6,6,6,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,10/28/2021,,1,16,16,16,100,,,,,PR   2246.00,LEX-FCST,.
YT409853-001,Days,11/22/2021,,1,5,5,5,100,,,,,PR   2246.00,LEX-FCST,.
YT410504-816,Days,3/1/2021,,1,1,1,1,100,,,,,INN 46.00,LEX-FCST,.
YT410505-816,Days,3/1/2021,,1,4,4,4,100,,,,,INN 46.00,LEX-FCST,.
YT410534,Days,5/21/2021,,1,38,38,38,100,,,,,INN 25.00,LEX-FCST,.
YT410534,Days,6/11/2021,,1,9,9,9,100,,,,,INN 25.00,LEX-FCST,.
YT410535,Days,4/23/2021,,1,10,10,10,100,,,,,INN 25.00,LEX-FCST,.
YT410535,Days,4/28/2021,,1,40,40,40,100,,,,,INN 25.00,LEX-FCST,.
YT410810-001,Days,4/29/2021,,1,0,2,0,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,5/27/2021,,1,3,3,3,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,6/29/2021,,1,2,2,2,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,7/29/2021,,1,3,3,3,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,8/30/2021,,1,2,2,2,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,9/29/2021,,1,3,3,3,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,10/28/2021,,1,2,2,2,100,,,,,PR 1940.00,LEX-FCST,.
YT410810-001,Days,11/29/2021,,1,3,3,3,100,,,,,PR 1940.00,LEX-FCST,.
YT414325-811,Days,4/29/2021,,1,6,6,6,100,,,,,PR 2892.00,LEX-FCST,.
YT414325-811,Days,5/27/2021,,1,6,6,6,100,,,,,PR 2892.00,LEX-FCST,.
YT414325-811,Days,6/29/2021,,1,6,6,6,100,,,,,PR 2892.00,LEX-FCST,.
YT414325-811,Days,7/29/2021,,1,7,7,7,100,,,,,PR 2892.00,LEX-FCST,.
YT414325-811,Days,8/30/2021,,1,6,6,6,100,,,,,PR 2892.00,LEX-FCST,.
YT414325-811,Days,9/29/2021,,1,6,6,6,100,,,,,PR 2892.00,LEX-FCST,.
YT414325-811,Days,10/28/2021,,1,6,6,6,100,,,,,PR 2892.00,LEX-FCST,.
YT415712-0.75-TT-D,Days,10/12/2021,,1,121,121,121,100,,,,,CAT 4.00,LEX-FCST,.
YT419543,Days,6/15/2021,,1,0,4,0,100,,,,,INN 1206.00,LEX-FCST,.
YT420032-AO-816,Days,5/18/2021,,1,1,1,1,100,,,,,CAT 494.00,LEX-FCST,.
YT420571,Days,9/20/2021,,1,2,2,2,100,,,,,KOH 11416.00,LEX-FCST,.
YT421499,Days,4/26/2021,,1,5,5,5,100,,,,,KOH 18.00,LEX-FCST,.
YT421499,Days,5/24/2021,,1,6,6,6,100,,,,,KOH 18.00,LEX-FCST,.
YT422714,Days,3/23/2021,,1,16,16,16,100,,,,,CAT 93.00,LEX-FCST,.
YT422714,Days,5/11/2021,,1,21,21,21,100,,,,,CAT 93.00,LEX-FCST,.
YT422714,Days,6/15/2021,,1,16,16,16,100,,,,,CAT 93.00,LEX-FCST,.
YT422714,Days,7/27/2021,,1,16,16,16,100,,,,,CAT 93.00,LEX-FCST,.
YT422714,Days,8/31/2021,,1,20,20,20,100,,,,,CAT 93.00,LEX-FCST,.
YT422714,Days,10/5/2021,,1,19,19,19,100,,,,,CAT 93.00,LEX-FCST,.
YT422714,Days,11/9/2021,,1,28,28,28,100,,,,,CAT 93.00,LEX-FCST,.
YT423496-807,Days,5/28/2021,,1,2,2,2,100,,,,,GE  30534.00,LEX-FCST,.
YT423496-807,Days,10/4/2021,,1,1,1,1,100,,,,,GE  30534.00,LEX-FCST,.
YT423496-807,Days,10/11/2021,,1,1,1,1,100,,,,,GE  30534.00,LEX-FCST,.
YT423496-807,Days,10/18/2021,,1,1,1,1,100,,,,,GE  30534.00,LEX-FCST,.
YT423496-807,Days,11/1/2021,,1,1,1,1,100,,,,,GE  30534.00,LEX-FCST,.
YT423496-807,Days,11/8/2021,,1,1,1,1,100,,,,,GE  30534.00,LEX-FCST,.
YT423496-807,Days,11/15/2021,,1,1,1,1,100,,,,,GE  30534.00,LEX-FCST,.
YT423839-AO-816,Days,10/19/2021,,1,1,1,1,100,,,,,CAT 190.00,LEX-FCST,.
YT425053,Days,9/21/2021,,1,1,1,1,100,,,,,CAT 560.00,LEX-FCST,.
YT425053,Days,11/9/2021,,1,2,2,2,100,,,,,CAT 560.00,LEX-FCST,.
YT425664-AO-816,Days,9/7/2021,,1,1,1,1,100,,,,,CAT 185.00,LEX-FCST,.
YT426748,Days,11/9/2021,,1,1,1,1,100,,,,,CAT 809.00,LEX-FCST,.
YT427744,Days,8/2/2021,,1,14,14,14,100,,,,,KOM 2314.00,LEX-FCST,.
YT427744,Days,9/2/2021,,1,16,16,16,100,,,,,KOM 2314.00,LEX-FCST,.
YT427744,Days,10/5/2021,,1,11,11,11,100,,,,,KOM 2314.00,LEX-FCST,.
YT427744,Days,11/1/2021,,1,24,24,24,100,,,,,KOM 2314.00,LEX-FCST,.
YT427808,Days,4/5/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,5/3/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,6/7/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,7/6/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,8/9/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,9/3/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,10/4/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427808,Days,11/1/2021,,1,1,1,1,100,,,,,KOH 17150.00,LEX-FCST,.
YT427809,Days,4/19/2021,,1,1,1,1,100,,,,,KOH 18839.00,LEX-FCST,.
YT427809,Days,5/3/2021,,1,1,1,1,100,,,,,KOH 18839.00,LEX-FCST,.
YT427809,Days,6/21/2021,,1,2,2,2,100,,,,,KOH 18839.00,LEX-FCST,.
